t,x,y,z
1.631299999999966133e+02,-5.817198679660037786e-02,-1.352433374139910827e+00,-2.760822611582941288e+00
1.631399999999966042e+02,-1.652592005194747915e-01,-1.366755140615725450e+00,-2.596477467062010103e+00
1.631499999999965951e+02,-2.662872520962937251e-01,-1.380324424056931010e+00,-2.430455656123778230e+00
1.631599999999965860e+02,-3.615992210965059406e-01,-1.393073972334462285e+00,-2.262852382137021223e+00
1.631699999999965769e+02,-4.515098123035902744e-01,-1.404941458727918979e+00,-2.093770659931186717e+00
1.631799999999965678e+02,-5.363076627844678423e-01,-1.415869239558796178e+00,-1.923320733518325554e+00
1.631899999999965587e+02,-6.162574679834188496e-01,-1.425804124242893822e+00,-1.751619527252230801e+00
1.631999999999965496e+02,-6.916019547130828338e-01,-1.434697170203126371e+00,-1.578790117690554773e+00
1.632099999999965405e+02,-7.625636967103295305e-01,-1.442503486616900643e+00,-1.404961234620802912e+00
1.632199999999965314e+02,-8.293467954330702163e-01,-1.449182058537237472e+00,-1.230266780594192699e+00
1.632299999999965223e+02,-8.921384363758941838e-01,-1.454695581010134298e+00,-1.054845373172638379e+00
1.632399999999965132e+02,-9.511103183283869944e-01,-1.459010304668686642e+00,-8.788399069215434567e-01
1.632499999999965041e+02,-1.006890308301424675e+00,-1.462095895063547202e+00,-7.023971314600186977e-01
1.632599999999964950e+02,-1.061417526234169406e+00,-1.463932647994871550e+00,-5.256669657799650786e-01
1.632699999999964859e+02,-1.116732341788508887e+00,-1.464537932662326680e+00,-3.488004199296912411e-01
1.632799999999964768e+02,-1.172739856854394525e+00,-1.463930784902019777e+00,-1.719450828613268700e-01
1.632899999999964677e+02,-1.229345956645531590e+00,-1.462130567167454265e+00,4.753789373502098625e-03
1.632999999999964587e+02,-1.286457129463290494e+00,-1.459156946066386906e+00,1.811533086807243509e-01
1.633099999999964496e+02,-1.343980445933235846e+00,-1.455029869567798562e+00,3.571129876630125821e-01
1.633199999999964405e+02,-1.401823570525187357e+00,-1.449769551314967542e+00,5.324947761881935193e-01
1.633299999999964314e+02,-1.459894775561578761e+00,-1.443396446658559595e+00,7.071630889659719088e-01
1.633399999999964223e+02,-1.518102963493835889e+00,-1.435931235766025216e+00,8.809848365072956433e-01
1.633499999999964132e+02,-1.576357676753524117e+00,-1.427394795949113115e+00,1.053829444871768883e+00
1.633599999999964041e+02,-1.634569130763005695e+00,-1.417808188162943184e+00,1.225568883548226351e+00
1.633699999999963950e+02,-1.692648230376659235e+00,-1.407192633433361317e+00,1.396077683749972209e+00
1.633799999999963859e+02,-1.750506589890712394e+00,-1.395569494381960096e+00,1.565232957461160757e+00
1.633899999999963768e+02,-1.808056544148242351e+00,-1.382960250404515534e+00,1.732914408858808430e+00
1.633999999999963677e+02,-1.865211181150935316e+00,-1.369386486037923678e+00,1.899004354106466952e+00
1.634099999999963586e+02,-1.921884349259881608e+00,-1.354869866680616042e+00,2.063387728415174927e+00
1.634199999999963495e+02,-1.977990668416622411e+00,-1.339432117748838191e+00,2.225952093097110840e+00
1.634299999999963404e+02,-2.033445545486589623e+00,-1.323095007837342685e+00,2.386587642944564713e+00
1.634399999999963313e+02,-2.088165196215516328e+00,-1.305880333204699095e+00,2.545187213381125524e+00
1.634499999999963222e+02,-2.142066645337838526e+00,-1.287809893980275122e+00,2.701646277548574560e+00
1.634599999999963131e+02,-2.195067735831132349e+00,-1.268905476040466107e+00,2.855862945461796976e+00
