t,u,v
3.755545575481460119e-02,-4.277077035752775529e-03,1.156693151438532130e+00
3.760972664463369669e-02,-4.269349222570482418e-03,1.157685857607927860e+00
3.766399753445279913e-02,-4.261635171247436966e-03,1.158676728649716825e+00
3.771826842427189463e-02,-4.253934874257351423e-03,1.159665771343229235e+00
3.777253931409099014e-02,-4.246248324025656343e-03,1.160652992453253596e+00
3.782681020391008564e-02,-4.238575512930160653e-03,1.161638398730143074e+00
3.788108109372918114e-02,-4.230916433301692633e-03,1.162621996909919853e+00
3.793535198354827664e-02,-4.223271077424742628e-03,1.163603793714379275e+00
3.798962287336737215e-02,-4.215639437538107499e-03,1.164583795851194647e+00
3.804389376318646765e-02,-4.208021505835522064e-03,1.165562010014020933e+00
3.809816465300556315e-02,-4.200417274466293135e-03,1.166538442882597781e+00
3.815243554282466559e-02,-4.192826735535926629e-03,1.167513101122853447e+00
3.820670643264376110e-02,-4.185249881106758128e-03,1.168485991387006262e+00
3.826097732246285660e-02,-4.177686703198563514e-03,1.169457120313667886e+00
3.831524821228195210e-02,-4.170137193789187798e-03,1.170426494527945227e+00
3.836951910210104760e-02,-4.162601344815152274e-03,1.171394120641541914e+00
3.842378999192014311e-02,-4.155079148172268616e-03,1.172360005252859327e+00
3.847806088173923861e-02,-4.147570595716246894e-03,1.173324154947098075e+00
3.853233177155833411e-02,-4.140075679263296657e-03,1.174286576296357687e+00
3.858660266137742961e-02,-4.132594390590728882e-03,1.175247275859738316e+00
3.864087355119652512e-02,-4.125126721437555322e-03,1.176206260183439101e+00
3.869514444101562756e-02,-4.117672663505077442e-03,1.177163535800858973e+00
3.874941533083472306e-02,-4.110232208457484035e-03,1.178119109232694806e+00
3.880368622065381856e-02,-4.102805347922429749e-03,1.179072986987041771e+00
3.885795711047291406e-02,-4.095392073491626629e-03,1.180025175559490824e+00
3.891222800029200957e-02,-4.087992376721420913e-03,1.180975681433227065e+00
3.896649889011110507e-02,-4.080606249133370694e-03,1.181924511079128326e+00
3.902076977993020057e-02,-4.073233682214820982e-03,1.182871670955862209e+00
3.907504066974929607e-02,-4.065874667419474425e-03,1.183817167509984225e+00
3.912931155956839158e-02,-4.058529196167961171e-03,1.184761007176034164e+00
3.918358244938749402e-02,-4.051197259848399179e-03,1.185703196376632906e+00
3.923785333920658952e-02,-4.043878849816962343e-03,1.186643741522579010e+00
3.929212422902568502e-02,-4.036573957398432132e-03,1.187582649012945524e+00
3.934639511884478053e-02,-4.029282573886757909e-03,1.188519925235174579e+00
3.940066600866387603e-02,-4.022004690545608573e-03,1.189455576565174422e+00
3.945493689848297153e-02,-4.014740298608922460e-03,1.190389609367412893e+00
3.950920778830206703e-02,-4.007489389281452923e-03,1.191322029995014686e+00
3.956347867812116254e-02,-4.000251953739311292e-03,1.192252844789854382e+00
3.961774956794025804e-02,-3.993027983130509849e-03,1.193182060082651263e+00
3.967202045775936048e-02,-3.985817468575497853e-03,1.194109682193063904e+00
3.972629134757845598e-02,-3.978620401167700174e-03,1.195035717429784095e+00
3.978056223739755148e-02,-3.971436771974042913e-03,1.195960172090630103e+00
3.983483312721664699e-02,-3.964266572035488566e-03,1.196883052462640373e+00
3.988910401703574249e-02,-3.957109792367558172e-03,1.197804364822166345e+00
3.994337490685483799e-02,-3.949966423960859542e-03,1.198724115434965931e+00
3.999764579667393349e-02,-3.942836457781604201e-03,1.199642310556295444e+00
4.005191668649302900e-02,-3.935719884772128675e-03,1.200558956431002411e+00
4.010618757631212450e-02,-3.928616695851406236e-03,1.201474059293617502e+00
4.016045846613122000e-02,-3.921526881915563846e-03,1.202387625368446900e+00
4.021472935595032244e-02,-3.914450433838387831e-03,1.203299660869662890e+00
4.026900024576941794e-02,-3.907387342471839095e-03,1.204210172001396462e+00
4.032327113558851345e-02,-3.900337598646546645e-03,1.205119164957827671e+00
4.037754202540760895e-02,-3.893301193172319340e-03,1.206026645923276686e+00
4.043181291522670445e-02,-3.886278116838641581e-03,1.206932621072295264e+00
4.048608380504579995e-02,-3.879268360415171184e-03,1.207837096569755797e+00
4.054035469486489546e-02,-3.872271914652232905e-03,1.208740078570942789e+00
4.059462558468399096e-02,-3.865288770281311535e-03,1.209641573221642785e+00
4.064889647450308646e-02,-3.858318918015542394e-03,1.210541586658233193e+00
4.070316736432218890e-02,-3.851362348550194884e-03,1.211440125007773316e+00
4.075743825414128441e-02,-3.844419052563162985e-03,1.212337194388092065e+00
4.081170914396037991e-02,-3.837489020715441432e-03,1.213232800907878772e+00
4.086598003377947541e-02,-3.830572243651607974e-03,1.214126950666771343e+00
4.092025092359857091e-02,-3.823668712000301718e-03,1.215019649755445297e+00
4.097452181341766642e-02,-3.816778416374696711e-03,1.215910904255701697e+00
4.102879270323676192e-02,-3.809901347372975089e-03,1.216800720240556632e+00
4.108306359305585742e-02,-3.803037495578798482e-03,1.217689103774328041e+00
4.113733448287495292e-02,-3.796186851561773792e-03,1.218576060912724968e+00
4.119160537269405536e-02,-3.789349405877920265e-03,1.219461597702934608e+00
4.124587626251315087e-02,-3.782525149070134832e-03,1.220345720183710236e+00
