t,u,v
1.764000000000000012e+00,-6.247042248427155976e-03,1.329721492813127099e+02
1.766000000000000014e+00,-5.882308087076829409e-03,1.330321702320393911e+02
1.768000000000000016e+00,-5.541394979680440772e-03,1.330892323670933308e+02
1.770000000000000018e+00,-5.225106628400567887e-03,1.331440426931848151e+02
1.772000000000000020e+00,-4.934106292988070172e-03,1.331972953701776419e+02
1.774000000000000021e+00,-4.669029835031795334e-03,1.332496931992257316e+02
1.776000000000000023e+00,-4.430591315029114123e-03,1.333019699997754230e+02
1.778000000000000025e+00,-4.219688394826122402e-03,1.333549152878443067e+02
1.780000000000000027e+00,-4.037514961198959695e-03,1.334094028643085323e+02
1.782000000000000028e+00,-3.885689130179679433e-03,1.334664252482752715e+02
1.784000000000000030e+00,-3.766406089468892285e-03,1.335271363542142922e+02
1.786000000000000032e+00,-3.682626956802013095e-03,1.335929053965360538e+02
1.788000000000000034e+00,-3.638316523205487995e-03,1.336653856236727620e+02
1.790000000000000036e+00,-3.638743136811633042e-03,1.337466018596088873e+02
1.792000000000000037e+00,-3.690849842677068702e-03,1.338390602390235529e+02
1.794000000000000039e+00,-3.803689637653768617e-03,1.339458802215943933e+02
1.796000000000000041e+00,-3.988872538207662542e-03,1.340709390609403329e+02
1.798000000000000043e+00,-4.260863843337797316e-03,1.342189943269582955e+02
1.800000000000000044e+00,-4.636741128964394498e-03,1.343956963388697829e+02
1.802000000000000046e+00,-5.134589307028563331e-03,1.346073008254139438e+02
1.804000000000000048e+00,-5.769122873652285724e-03,1.348597454394428894e+02
1.806000000000000050e+00,-6.542914688730932897e-03,1.351566748045122210e+02
1.808000000000000052e+00,-7.433461295098995301e-03,1.354963592474333893e+02
1.810000000000000053e+00,-8.382229608452865938e-03,1.358687369805907963e+02
1.812000000000000055e+00,-9.298466495473745388e-03,1.362553994039957956e+02
1.814000000000000057e+00,-1.008492370289147157e-02,1.366344348975220555e+02
1.816000000000000059e+00,-1.067133192550946685e-02,1.369875790084792584e+02
1.818000000000000060e+00,-1.103134687403675707e-02,1.373045505393075132e+02
1.820000000000000062e+00,-1.117639879647685727e-02,1.375827280929756569e+02
1.822000000000000064e+00,-1.113897140963688442e-02,1.378243593796351547e+02
1.824000000000000066e+00,-1.095796297807621542e-02,1.380338348004481475e+02
1.826000000000000068e+00,-1.067023415005245897e-02,1.382159798562864808e+02
1.828000000000000069e+00,-1.030715608485666297e-02,1.383752512709482687e+02
1.830000000000000071e+00,-9.893953003645645020e-03,1.385154679301408294e+02
1.832000000000000073e+00,-9.450262674495718898e-03,1.386397943767719596e+02
1.834000000000000075e+00,-8.991076313648942511e-03,1.387508204195847270e+02
1.836000000000000076e+00,-8.527687199692659051e-03,1.388506640261090013e+02
1.838000000000000078e+00,-8.068514766004735925e-03,1.389410684090399002e+02
1.840000000000000080e+00,-7.619776017444681096e-03,1.390234842807741700e+02
1.842000000000000082e+00,-7.186016535759328326e-03,1.390991364969108020e+02
1.844000000000000083e+00,-6.770525249565949831e-03,1.391690772081466321e+02
1.846000000000000085e+00,-6.375657706144975678e-03,1.392342283137465699e+02
1.848000000000000087e+00,-6.003089342895165034e-03,1.392954158601741312e+02
1.850000000000000089e+00,-5.654016305636307485e-03,1.393533986483901970e+02
1.852000000000000091e+00,-5.329317834374463700e-03,1.394088929362517604e+02
1.854000000000000092e+00,-5.029691463019208240e-03,1.394625948301791141e+02
1.856000000000000094e+00,-4.755770283317617073e-03,1.395152017754559211e+02
1.858000000000000096e+00,-4.508230240779555371e-03,1.395674344806329259e+02
1.860000000000000098e+00,-4.287894793181176549e-03,1.396200606495355601e+02
1.862000000000000099e+00,-4.095844226771869906e-03,1.396739220491908782e+02
1.864000000000000101e+00,-3.933537473848118700e-03,1.397299667231295359e+02
1.866000000000000103e+00,-3.802955392327693560e-03,1.397892885766671895e+02
1.868000000000000105e+00,-3.706776073356279552e-03,1.398531771094304190e+02
1.870000000000000107e+00,-3.648594530382191087e-03,1.399231806954432216e+02
1.872000000000000108e+00,-3.633200180866234374e-03,1.400011873198819785e+02
1.874000000000000110e+00,-3.666923483576947033e-03,1.400895265446823430e+02
1.876000000000000112e+00,-3.758052221013109297e-03,1.401910943874366353e+02
1.878000000000000114e+00,-3.917285287426758994e-03,1.403094957670844565e+02
1.880000000000000115e+00,-4.158110234107985186e-03,1.404491808205928294e+02
1.882000000000000117e+00,-4.496809178937168951e-03,1.406155095741522416e+02
1.884000000000000119e+00,-4.951442106833309036e-03,1.408145958638672255e+02
1.886000000000000121e+00,-5.538598565594311449e-03,1.410526457184516858e+02
1.888000000000000123e+00,-6.266249854214135835e-03,1.413343776580238682e+02
