time,lambda_1,lambda_2,lambda_3
82.5,0.5833781290606644,0.010272276619306724,-20.81174147888584
83.0,0.5907693481362525,0.012762514872888145,-20.822064880159473
83.5,0.5857749172127228,0.011628148210385313,-20.8211775537412
84.0,0.5945895778016347,0.014953935492387766,-20.830047385797638
84.5,0.5770112014007532,0.022165483923073256,-20.8327540403465
85.0,0.6017950466314566,0.008312354664025032,-20.839322871809575
85.5,0.5767269802562646,0.023966515243378863,-20.84370776782033
86.0,0.6025725118873153,0.007995758583123508,-20.848523094267954
86.5,0.5815154691074106,0.017613502335457745,-20.850384727694156
87.0,0.6050407483891943,0.004607053422410556,-20.85348705881562
87.5,0.5715936457907714,0.030436508716674533,-20.86141483951233
88.0,0.6070164788242093,0.003379792892888281,-20.863591641029373
88.5,0.5938375350127785,-0.006188220026268367,-20.851867207931047
89.0,0.600005895367375,0.00010115614135762273,-20.850969331763977
89.5,0.5822792183571401,0.014082568653075283,-20.867496834409305
90.0,0.5980870315680795,-0.0001690271829677428,-20.86766378257586
90.5,0.5933004851263056,0.007501325387474335,-20.867476483701186
91.0,0.5985722511677681,0.0028602373772753536,-20.866511219220584
91.5,0.5941416896939941,0.012082484305272725,-20.865136164307533
92.0,0.5980942038852117,0.004554714975271374,-20.86227183503916
92.5,0.5978823764095922,0.014229749619188608,-20.858122516989006
93.0,0.5986229331274091,-0.009420578124470311,-20.845850757759372
93.5,0.6033341180106536,3.2839940716245144e-05,-20.837003131668194
94.0,0.5932884469352329,0.005745786818272125,-20.855117213859543
94.5,0.5989957591200398,0.0021602477928535915,-20.851641511686765
95.0,0.6058268205973264,-0.0005602769714199303,-20.84758503074952
95.5,0.6093538657152564,-0.00352930284668788,-20.84356947630427
96.0,0.6149855501307492,-0.0023190354337961905,-20.838341234278243
96.5,0.6161113628705949,-0.009915176252474537,-20.83270472488341
97.0,0.6171831508016571,0.0024070136188585117,-20.824719441705003
97.5,0.6150480305989308,-0.007360512265004056,-20.82859575073279
98.0,0.6279431564316444,-0.002908716909336699,-20.827279256100354
98.5,0.599073914551783,0.002496257241747687,-20.815503695492552
99.0,0.6236039335412737,0.008560873778127082,-20.824579408508892
99.5,0.6046287258892935,0.003382383756693171,-20.8179817757568
100.0,0.6276106586645995,0.009835141638482465,-20.837424226024556
100.5,0.6209060419867487,0.017384886582749465,-20.839114230205926
101.0,0.6281832063439134,0.019293091455775662,-20.837051659888758
101.5,0.624710957910812,0.012135892108867648,-20.835423575816062
102.0,0.6347316066324279,0.01442115912037046,-20.84451908138696
102.5,0.6269010928657485,0.016786133731584982,-20.84300233269181
103.0,0.6281905756631778,0.013061303809765015,-20.84204370034726
