block,time,lambda1,lambda2,lambda3,stretch1,stretch2,stretch3
80,40,0.42689267817261545,0.0039848967917530103,-1.9042164712222902,0.87798172474347957,0.95043704779757521,0.31511367235908117
81,40.5,0.40952476225066103,0.012390910433888468,-1.8741495324020363,0.6126544189585853,1.4083742160989321,1.3042169033660249
82,41,0.36005177564987584,0.036805712075873055,-1.8760862344840594,0.16143865244495295,2.7379304438336041,0.36186663321774809
83,41.5,0.39302321011991809,0.011288854995456621,-1.8628733683763883,4.7036575976494346,0.35326149657343792,0.67725380902944921
84,42,0.41466575123553862,-0.005168685269757339,-1.8478830077175292,3.0207294196723815,0.50380183958994817,0.73945523225820087
85,42.5,0.4171233229657782,-0.014391251364845157,-1.8615329149191946,1.3658537269960553,0.6739877106614065,0.22222551932372978
86,43,0.39847502289613579,0.014425041176681376,-1.8519919549860138,0.55249259880294022,3.4277530313272231,0.59422028373208013
87,43.5,0.38063279517389725,0.0045974250454111527,-1.8465511595011628,0.56163708468394058,0.65685710449170098,0.50191656719905398
88,44,0.39127643825741598,0.0059374251623405426,-1.8400060874083388,1.9321564161662776,1.0631739404907148,0.52978055377125777
89,44.5,0.39427381239116865,-0.0029911079379388436,-1.81521019487433,1.3896075485166104,0.67411739250420144,1.2013118572667563
90,45,0.40258374329226698,0.0017883183230008024,-1.8250128050085137,1.7701845324005034,1.2381008435534819,0.25957163782913645
91,45.5,0.39840704426283019,0.0078259346107616111,-1.8279196733743719,1.0113156084040764,1.3173283393810129,0.35177310012358837
92,46,0.38959196013367481,0.0083932099459709166,-1.8016516932976203,0.81359681593223121,1.0304623991596251,1.3422767600645336
93,46.5,0.35710158255521418,0.016069784650787358,-1.7993980416762398,0.26820421903454295,1.4349892081738294,0.45111587372735479
94,47,0.37145089558355343,0.0039669539053916137,-1.7839594629167626,2.3466024207588894,0.57075333368287851,0.84022478719334648
95,47.5,0.39256104966261501,-0.0058638248807990519,-1.77792609424179,3.2820156679092714,0.62814860057151933,0.54585892300573968
96,48,0.39389747173519868,-0.012601202043384151,-1.7885822794612267,1.2974863091862288,0.7215699055701984,0.24648357079144845
97,48.5,0.37849855444536656,0.0081097892638425477,-1.7769515176715418,0.57700822795448203,2.7133457767966176,0.71878054316809714
98,49,0.34985865727121523,0.017106299659314081,-1.782553972586405,0.29697548540478819,1.5603090396944916,0.31254836628674104
99,49.5,0.37291388269026049,0.0069150906576830153,-1.7787335639616659,3.7290853416834726,0.60901541734753428,0.4955104877864378
100,50,0.38571968914680554,-0.0091473857898411951,-1.7591261574293762,2.2858712990793042,0.44947894052972309,1.0952728875927111
101,50.5,0.38819716090429912,-0.014034446676707935,-1.7715512536738092,1.3743380105689387,0.77773434834527089,0.22156695859072739
102,51,0.37936975687281171,0.0017897543924596765,-1.7625327800941999,0.77406531306028081,2.2255788324238539,0.65322511184809096
103,51.5,0.36503361336696921,0.012974683472615614,-1.7484555432395168,0.57774278840378934,1.780543624722615,0.85531223289981939
104,52,0.35104567893562089,0.010790997468219952,-1.7411412002833111,0.5799254119795465,0.89846787225064284,0.61025282656982704
105,52.5,0.35814107422228275,-0.0062754493483189741,-1.7157846860163217,1.7298437595242691,0.4104123228518699,1.5850982596460748
106,53,0.37542534427852053,-0.0013303157001218757,-1.7229189187334013,2.989591781309735,1.2955746717407972,0.29054213301421983
107,53.5,0.37578725222619425,-0.0060662318628921606,-1.7309070179129702,1.2300745131421407,0.77566335596526348,0.27559503218086889
108,54,0.37001769585983096,-0.0017241982278586407,-1.7146891705421314,0.883678104648709,1.2604095405827129,1.0103635828239159
109,54.5,0.34743398139404347,0.0076319863765345998,-1.7257508786525533,0.35140931671216119,1.6637098560241435,0.23218804953761668
110,55,0.36215814162938686,0.0013974565048010261,-1.7196327456125331,2.6739206501234931,0.71242320880956833,0.59074069032001986
111,55.5,0.38123113695098221,-0.01643813559412919,-1.7065255883757779,3.454336199150549,0.37188276090547617,0.87601755686228522
112,56,0.38312548815543163,-0.021045759952990167,-1.7178370922758721,1.3454105874184454,0.76625058222642317,0.22611602814253853
113,56.5,0.37134141392113079,-0.0046118131410743989,-1.7083991203615336,0.62235945566868112,2.5042645907721739,0.72204116030771059
114,57,0.33051728688181153,0.020874526828219924,-1.6979285570891063,0.11750145831533126,4.2648860865085991,0.77307635819294362
115,57.5,0.33540947200207638,-0.0057196750306974129,-1.671605508127967,1.5629253473023068,0.21898997127617886,1.9437343330018542
116,58,0.30949222838344059,-0.0045610104240262697,-1.6332427500239861,0.26302784079264091,1.0664578215507416,4.0117887571807822
117,58.5,0.33731549626248813,-0.0082870990220347083,-1.6439683002829577,5.9441484693062359,0.80231282729661946,0.23596635087463844
118,59,0.33422713544017463,-0.0084011306972623483,-1.6554266805072035,0.98653592221092079,0.98918746195504526,0.22357047653727849
119,59.5,0.30393467607152452,0.02085949933546314,-1.6412371222697528,0.19489627895678174,5.6791803718980534,1.0167033414670428
120,60,0.32320874286717854,-0.0029715283345697284,-1.6583517900338947,3.700290558069903,0.24185137109480451,0.15763096743507127
121,60.5,0.32216196411570164,0.0011649212023818699,-1.6484308522324389,1.1032653218236397,1.2824463089478302,0.79536101695344097
122,61,0.32847768450333403,0.0026296235911175071,-1.6434139550872358,1.7269207783497558,1.0940969352260965,0.59560076112573646
123,61.5,0.32649686097290637,4.3525795196318001e-05,-1.6494763465417988,1.0433307033504036,0.85408017945280323,0.30284200291400104
124,62,0.3251224338784226,-0.0019863808309135899,-1.6334985852140196,1.081159364086868,0.88176257555946747,1.1804350170437985
125,62.5,0.32444811069483387,-0.0097659176550488423,-1.6349838174453935,1.1279660081070262,0.61433540244620255,0.40269480683717673
126,63,0.32127310976340612,-0.0027731421310743911,-1.6290526819335762,0.96290453662098741,1.545986007244589,0.64157424088766735
127,63.5,0.31823270908364887,-0.004022029890406861,-1.6125844818581199,0.96809129001756522,0.92247874518463613,1.2601167354125093
128,64,0.32609291253113321,0.00033055041713066051,-1.6217803530000445,1.9389941809152111,1.3185783184913775,0.24787566879986284
129,64.5,0.3255366548348041,0.00247423715779274,-1.6267563257270854,1.1356075963214249,1.1484728116909582,0.32243928714159592
130,65,0.3231247195799804,-0.0013597197148606803,-1.6099653529083371,1.0060105270164477,0.78038329344555457,1.3205325079410095
131,65.5,0.30554258446257321,0.0043972064020972737,-1.6128024701564119,0.37155161400871001,1.4570280818916097,0.37127440405288586
132,66,0.31166380162826379,-0.0016689236121012196,-1.6011982259229869,1.7450297865534885,0.67155055597043178,0.96028888715201388
133,66.5,0.3279488489834177,-0.0063593928206748017,-1.6013088009761525,3.4514262448923438,0.73143226210043122,0.44576991131351218
134,67,0.32773824251996087,-0.010831433083467698,-1.6107599843252163,1.1616760017363716,0.73874210741768787,0.23838132421702637
135,67.5,0.30898125080180627,0.011345619992106277,-1.6028465476203688,0.33213033237169015,4.4439133174351726,0.76244644076645196
136,68,0.31268613401560569,-0.0047190536707807894,-1.6104235434581315,1.5014370516798226,0.3373194080698414,0.26802929606289916
137,68.5,0.31304947876658107,0.0043498659758963356,-1.6086249645957065,1.1986934625701826,1.8568127989366214,0.50560016002067476
138,69,0.31274019213256571,0.003235443258952273,-1.5961331778290186,1.1447473545787161,0.92800307327637166,1.0593132328405692
139,69.5,0.31413008336810849,0.0007425895541156172,-1.606546039348137,1.2878414688766515,0.84228603714366634,0.21832719116198013
140,70,0.31258468042855625,0.0089205200488197203,-1.6022654066894086,1.0501015102397706,1.7732720031656322,0.60433371003394487
141,70.5,0.30945357346585889,0.0057247300724045718,-1.5921611677261107,0.93758233531689095,0.80184261316286554,0.91504333293214812
142,71,0.30130303182277501,-0.0069280601232762648,-1.5768761751528835,0.65444896650540585,0.40840917024895873,1.3352972000501642
143,71.5,0.27890995019697556,-0.0035702127956091026,-1.5472208690577534,0.23446385947904033,1.2669621838167826,3.7882959411107557
144,72,0.27546699784463752,0.023037827366309771,-1.5599133860675167,0.897234885668033,6.780113113772134,0.18498664249656113
145,72.5,0.28310771769806337,0.012224531539688532,-1.569040827496782,1.9970791503909562,0.46188236859673287,0.23652622324805442
146,73,0.29385001249079107,0.0030971689144911824,-1.5603141319809126,2.5237386130505293,0.51675561945462722,0.8628869085066404
147,73.5,0.28698191679570312,0.0044124433056377229,-1.5752107049115278,0.69915694969160802,1.1032068450568238,0.15334650550480042
148,74,0.28988523519894777,0.0074826722013610998,-1.5709140805326074,1.4309470821171424,1.2578490511428773,0.62521783847286461
149,74.5,0.30675666390130563,-0.0071862742014590104,-1.5629842458076511,4.0627661360608922,0.33652084984535174,0.82309442413081779
