coordinate,frequency,normalized_fft_power
x,3.674540682412818,1.0897071659296822e-06
x,3.680789901260459,2.4801324620469244e-06
x,3.6870391201081,4.1955958206201006e-07
x,3.6932883389557407,8.1436767397182e-06
x,3.6995375578033816,6.0568326605153065e-06
x,3.7057867766510224,1.4383041408984113e-06
x,3.7120359954986633,2.634065768888421e-06
x,3.718285214346304,3.918236876162072e-06
x,3.724534433193945,2.6253088695502248e-05
x,3.730783652041586,2.266048426820488e-05
x,3.7370328708892266,9.053899658926281e-06
x,3.7432820897368675,5.190894021445149e-06
x,3.7495313085845083,1.5058391318859958e-06
x,3.755780527432149,2.538791928127251e-06
x,3.76202974627979,9.025135507447418e-06
x,3.768278965127431,2.7113164293817215e-07
x,3.7745281839750717,6.1685359009767295e-06
x,3.7807774028227126,4.219045369745191e-06
x,3.7870266216703534,9.378723532902911e-08
x,3.7932758405179943,9.012110547173291e-06
x,3.799525059365635,6.16024256973807e-06
x,3.805774278213276,5.610822335205463e-06
x,3.812023497060917,1.5093172037586938e-05
x,3.8182727159085577,6.422448819753858e-06
x,3.8245219347561985,6.992315212665691e-07
x,3.8307711536038394,3.5540199945001942e-06
x,3.83702037245148,1.6236863412356424e-05
x,3.843269591299121,4.792138390866821e-05
x,3.849518810146762,3.99413059921654e-05
x,3.8557680289944027,7.40671385814065e-07
x,3.8620172478420436,1.1103141446614086e-05
x,3.8682664666896844,9.447646120802728e-06
x,3.8745156855373253,6.340841733351829e-06
x,3.880764904384966,3.074268617371313e-05
x,3.887014123232607,7.351147315760409e-05
x,3.893263342080248,5.9472524261928306e-05
x,3.8995125609278887,0.00017831482756821223
x,3.9057617797755295,0.0030349461122162547
x,3.9120109986231704,0.027285039999047897
x,3.918260217470811,0.0141114683451758
x,3.924509436318452,0.00021866834837546708
