coordinate,frequency,normalized_fft_power
x,2.6309211348567967,3.2375206810040826e-06
x,2.6371703537044375,2.988934034098783e-06
x,2.6434195725520784,1.2208609172656088e-06
x,2.6496687913997192,3.4207696346524004e-07
x,2.65591801024736,9.374315970558255e-07
x,2.662167229095001,4.662552292369665e-06
x,2.6684164479426418,1.954953751829708e-05
x,2.6746656667902826,1.1700256722050619e-05
x,2.6809148856379235,1.449544916671867e-06
x,2.6871641044855643,1.3844420229455675e-07
x,2.693413323333205,5.212383415545515e-06
x,2.699662542180846,1.2880109976784326e-05
x,2.705911761028487,5.396331308509821e-06
x,2.7121609798761277,1.1097314073838989e-06
x,2.7184101987237685,3.024824148807644e-07
x,2.7246594175714094,3.2694686178285403e-06
x,2.7309086364190502,2.4243182214391906e-05
x,2.737157855266691,1.2561939187493866e-05
x,2.743407074114332,1.138309654331538e-05
x,2.749656292961973,1.628727063542497e-05
x,2.7559055118096136,4.905158119179004e-06
x,2.7621547306572545,1.4500805554378912e-05
x,2.7684039495048953,1.1529058970559958e-05
x,2.774653168352536,6.154540035219052e-07
x,2.780902387200177,2.5040311423561388e-05
x,2.787151606047818,6.858798261589472e-05
x,2.7934008248954587,2.7726292644741138e-05
x,2.7996500437430996,3.402850865528695e-05
x,2.8058992625907404,1.3157521856720529e-05
x,2.8121484814383813,3.066749225861496e-05
x,2.818397700286022,1.2855828103711192e-06
x,2.824646919133663,2.1452928461530654e-05
x,2.830896137981304,5.2223816626486313e-05
x,2.8371453568289446,5.800079854911264e-05
x,2.8433945756765855,0.00022752184494515264
x,2.8496437945242263,0.00013501528714367922
x,2.855893013371867,8.392404547328814e-05
x,2.862142232219508,4.1092754931834825e-05
x,2.868391451067149,5.4388861396829966e-05
x,2.8746406699147897,0.00020109481459132532
x,2.8808898887624306,5.932686379080596e-05
x,2.8871391076100714,7.637523790253209e-06
x,2.8933883264577123,4.991886380433144e-05
x,2.899637545305353,3.0490126632715467e-05
x,2.905886764152994,0.00015185519002133222
