time,lambda_1,lambda_2,lambda_3
62.5,0.7991646685811383,0.0012874674833116232,-20.955514951184956
63.0,0.809551277841642,0.025496009376591137,-20.987780284460076
63.5,0.7954206510006389,0.04489794627058192,-20.988500372762402
64.0,0.809788578048142,0.030656521799251144,-20.98877356059267
64.5,0.8047932817183256,0.03414418448672186,-20.987428602056617
65.0,0.8108268718973998,0.021134991616404593,-20.98248465942223
65.5,0.7900582486261035,0.02589194155923087,-20.9723092076493
66.0,0.8023077794836855,0.014294990541489336,-20.97253416729501
66.5,0.8010258126179934,0.001046793735722925,-20.975025591487356
67.0,0.8017390959997258,0.016222599584112853,-20.992340301132423
67.5,0.7950112696923354,0.018626598567799326,-20.993830450054983
68.0,0.8056319255032733,0.02482881578947883,-21.00870805406606
68.5,0.7754031578605954,0.03381561304901905,-21.001187677948867
69.0,0.8042577283922056,0.020672796946970454,-21.01173337611672
69.5,0.7878800580677229,0.029592132694898694,-21.024194885122704
70.0,0.803311521473831,0.019528305571572264,-21.029684854383106
70.5,0.7962246378761428,0.0184300107822267,-21.027518846160405
71.0,0.8041711838431331,0.020500335667209917,-21.03212688318017
71.5,0.793044124164805,0.01349495311603843,-21.02935867330152
72.0,0.8080929469659024,0.010470935749290795,-21.031660063287244
72.5,0.7807751629904468,0.029559716874104865,-21.04414739197054
73.0,0.8052635676351122,0.010990234890656326,-21.045785842376816
73.5,0.7962281836301053,0.002731033281591158,-21.036458375267156
74.0,0.7905022176612523,0.021169424306211732,-21.034594188155967
74.5,0.7909349946669016,0.01300474439174535,-21.049278406558773
75.0,0.8044517157422584,0.00456949201301474,-21.04841740328751
75.5,0.7847289511526246,0.014199893774615968,-21.042930739966863
76.0,0.7898782330421829,0.020747107693577366,-21.038300327622355
76.5,0.7907839806258065,0.00680351153330055,-21.04391305920177
77.0,0.7905437863147851,0.01869019657652307,-21.037900173505953
77.5,0.7788871282959099,0.015911594450276262,-21.041204607233706
78.0,0.78719359572007,0.020386586734189686,-21.033069418172733
78.5,0.7809664104133066,0.015180953484364776,-21.041556900237598
79.0,0.7958322988975596,0.01134354363926888,-21.03357358514194
79.5,0.7681210258620889,0.018767134996739824,-21.027769529074174
80.0,0.7980705690979268,0.003969171310803127,-21.015541593994588
80.5,0.7789262749219042,0.015668714686033387,-21.032942683409846
81.0,0.7988809017817419,0.0006544580227131431,-21.0265342111188
81.5,0.7938921348488848,0.002387778547405504,-21.020303999513978
82.0,0.8033431359130829,0.003062029927393627,-21.01166070043419
82.5,0.7979460628623818,-0.025114831871423944,-20.98678954102706
83.0,0.7918351789943326,-0.013034059148805188,-20.962495337698233
83.5,0.789718162258543,-0.021707131723890542,-20.97801139923817
84.0,0.7901139791185129,-0.014670057254849125,-20.97884282681555
84.5,0.7762436306610869,0.009709741338164152,-20.976805544157337
85.0,0.7848779703963746,0.002445743686053387,-20.976970757320835
85.5,0.765320498562455,0.03730106264218065,-20.97512709709597
86.0,0.7804912878661555,0.010007163226732008,-20.973979264727337
86.5,0.7844065144085572,0.019244247310317573,-20.973266749599148
87.0,0.7595726223600862,0.026286597784253376,-20.968491361088596
87.5,0.7787292946888709,0.025973966560427622,-20.98611614379602
88.0,0.7792659413969361,0.024440980665181265,-20.98609050997109
88.5,0.7770423558214689,0.02411693596242521,-20.983533355862974
89.0,0.7799851230100951,0.01155022193736444,-20.975753821821606
89.5,0.7755633177070261,0.013231364484936168,-20.97992947932715
90.0,0.7734842487834015,0.011990734259364274,-20.976418827689663
90.5,0.7743628699978664,0.0033236107210821335,-20.97994364554899
91.0,0.777427015012896,0.012676512461755787,-20.992499852375815
91.5,0.7631886825718812,0.009570763828355955,-20.98142635147161
92.0,0.7695234856401839,0.02026844139955016,-20.995343840651973
92.5,0.7629081033843169,0.021553789270068405,-21.004780514505693
93.0,0.7737354269015005,0.014192888404480235,-21.00964455244182
93.5,0.7684327963530904,0.019939626857214874,-21.012375368804776
94.0,0.7769293553756184,0.015080836761120375,-21.016301867703454
94.5,0.7741068528044479,0.013696956947491774,-21.015870164161818
95.0,0.7793076657532713,0.015162512677435102,-21.019301508378618
95.5,0.7740165866990154,-0.004210081858251056,-21.004199134589147
96.0,0.7768168049490559,0.0031029657314706194,-21.005560039748463
96.5,0.7669302323613584,0.009113986085166666,-21.019413775037407
97.0,0.7656121777785545,0.010244884793788355,-21.019886424666648
97.5,0.7690600811083096,0.009112853226986479,-21.020519327707078
98.0,0.7693332365599351,0.006238781276002899,-21.01942570134273
98.5,0.7692776177919874,0.011741068103173177,-21.018898025881533
99.0,0.770753540025914,-0.007212761969997696,-21.00806027081025
99.5,0.7528150738758623,0.0216654477607722,-21.00364473760217
100.0,0.7651660165211173,0.004470481578488794,-21.017873971487077
100.5,0.7683249858714621,0.0030896234543970175,-21.01595431365908
101.0,0.748350755969189,0.023426099903734666,-21.01352539735818
